"syntax","description","expression","tio_link"
"f⌿Y","Reduce First: f between all items of Y on first axis","mat ← 3 4⍴⍳12
⎕← +⌿ mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSSk/ahnvwJQ/v9/AA"
"A⍱B","Logical NOR","⎕← 0 1 0 1 ⍱ 0 0 1 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFAzB@FHvRiANYhn@/w8A"
"A⍲B","Logical NAND","⎕← 0 1 0 1 ⍲ 0 0 1 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFAzB@FHvJiANYhn@/w8A"
",Y","Ravel: Reshape into a vector","cube ← 2 2 2⍴⍳8
⎕← , cube","https://tio.run/##SyzI0U2pTMzJT///P7k0KVXhUdsEBSMQfNS75VHvZguuR31TQWI6CiDp//8B"
"X,Y","Catenate: Join along last axis","⎕← 1 2 3 , 4 5 6","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBV0FEwUTBXM/v8HAA"
"Xm,Ys","Append scalar to each row of matrix","cube ← 2 2⍴⍳4
⎕← cube , 99","https://tio.run/##SyzI0U2pTMzJT///P7k0KVXhUdsEBSMFo0e9Wx71bjbhetQ3FSQCltJRsLT8/x8A"
"Xm,Yv","Append elements of vector to respective rows of matrix","cube ← 2 2⍴⍳4
⎕← cube , 0 99","https://tio.run/##SyzI0U2pTMzJT///P7k0KVXhUdsEBSMFo0e9Wx71bjbhetQ3FSQCltJRMFCwtPz/HwA"
"⍪Y","Table: Reshape into 2-dimensional array","hypercube ← 2 2 2 2⍴⍳16
⎕← ⍪ hypercube","https://tio.run/##SyzI0U2pTMzJT///P6OyILUouTQpVeFR2wQFIwh81LvlUe9mQzOuR31TQcKPelcpwBX@/w8A"
"⍪Y","Ravel planes of rank 3 array Y to form rows of a matrix","cube ← 2 2 2⍴⍳8
⎕← ⍪ cube","https://tio.run/##SyzI0U2pTMzJT///P7k0KVXhUdsEBSMQfNS75VHvZguuR31TQWKPelcpgBT8/w8A"
"⍪Yv","Reshaping vector Yv into a one-column matrix","⎕← ⍪ 2 3 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9a5SMFIwVjD5/x8A"
"X⍪Y","Catenate First: Join along leading axis","mat ← 2 3⍴⍳6
⎕← mat ⍪ mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFIwXjR71bHvVuNuN61DcVJAKW6V0Fov//BwA"
"Xm⍪Ys","Append scalar to each column of matrix","mat ← 2 3⍴⍳6
⎕← mat ⍪ 0","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFIwXjR71bHvVuNuN61DcVJAKW6V2lYPD/PwA"
"Xm⍪Yv","Append elements of vector to respective columns of matrix","mat ← 2 3⍴⍳6
⎕← mat ⍪ 7 8 9","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFIwXjR71bHvVuNuN61DcVJAKW6V2lYK5goWD5/z8A"
"⊃Y","First item of Y","⎕← ⊃ 'Word'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedTUrqIfnF6Wo//8PAA"
"Iv⊃Y","Reach into Y along path given by Iv","⎕← 3 ⊃ 'Word'
⎕← 2 ⊃ (1 2)(3 4 5)
⎕← 2 1 ⊃ (1 2)(3 4 5)","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFR51NSuoh@cXpahzQcWMwGIahgpGmhrGCiYKppoIGUMMuf//AQ"
"⊂Y","Enclose: Scalar containing Y","⎕← 1(2 3)
⎕← ⊂ 1(2 3)
⎕← ⊂⊂ 1(2 3)","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMNYwUjDW5oLxHXU2YIgjB//8B"
"Av⊂Y","Partitioned enclose of Y according to Av (along last axis) beginning enclosures on 1s","⎕← 0 1 0 1 ⊂ 1 2 3 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFAzB@FFXE5A0UjBWMPn/HwA"
"⊆Y","Nest: Y if already nested, else scalar containing Y","⎕← 'this'
⎕← ⊆ 'this'
⎕← 'this' 'that'
⎕← ⊆ 'this' 'that'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUSzIyi9W5oLxHXW1oIhAeiEoswaIMKvH/PwA"
"Mv⊆Y","Partition Y according to Mv (along last axis) beginning partitions on increases","⎕← 1 0 0 1 1 ⊆ 1 2 3 4 5
⎕← 1 1 2 2 2 ⊆ ⍳5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFQyA0BAIH3W1AUkjBWMFEwVTLrg0SAgEQdKPejeb/v8PAA"
"⌷Y","Materialise items of Y in workspace",":Class Person
    :Property default fullName
    :Access public shared
        ∇ text←Get
          text←'My Clan'
        ∇
    :EndProperty
:EndClass
⎕FIX⎕SRC Person

⎕← Person
⎕← ⌷ Person","https://tio.run/##SyzI0U2pTMzJT///38o5J7G4WCEgtag4P49LAQisAoryC1KLSioVUlLTEktzShTSSnNy/BJzUyHSjsnJqUAdBaVJOZnJCsUZiUWpKWAZEHjU0a5QklpR8qhtgntqCVxYASao7lupALQxTx1ZB8Rc17wUmM1cIA7YYVyP@qa6eUYAyeAgZ5grQYJAs2BcKO9Rz3aoyP//AA"
"Iv⌷Y","Index Y using indices Iv","mat ← 3 4⍴⍳12
⎕← 2 3 ⌷ mat
⎕← 2 ⌷ mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSRkBBR81LNdAagEIQQV@P8fAA"
"⍳Js","Integers from 1 to Js","⎕← ⍳ 10","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9W5WMDT4/x8A"
"⍳Jv","Indices of all items of array of shape Jv","⎕← ⍳ 2 3","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9W5WMFIw/v8fAA"
"X⍳Y","Index of: First indices in X of major cells Y","⎕← 'ABCDABCDEF' ⍳ 'ACF'
mat ← 3 2⍴⍳6
⎕← mat ⍳ 5 6","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUHZ2cXUDY1U1d4VHvZqCAs5s6V25iiQJI2ljB6FHvFqC4GRdUA1gGqM5Uwez/fwA"
