"syntax","description","expression","tio_link"
"⎕CT←(0≤1E¯14≤2*¯32)","Max ratio between numbers considered equal when ⎕FR←645","⍝              11111
⍝     12345678901234
n ← 1.00000000000001
m ← 1.00000000001
⎕← ⎕CT
⎕← n m=1
⎕CT ← 0
⎕← n m=1
⎕CT ← 1E¯10
⎕← n m=1","https://tio.run/##SyzI0U2pTMzJT////1HvXAUUYAgCXDBhQyNjE1MzcwtLAxCLK0/hUdsEBUM9A2RgyJWLIQw0oW8qSBBIOYfAOHkKubZgGecQsA4DXBKGrofWG6LK/v8PAA"
"⎕DCT←(0≤1E¯28≤2*¯32)","Max ratio between numbers considered equal when ⎕FR←1287","⎕DCT ← 1E¯10
n ← 1.00000000001
⎕← n=1
⎕FR ← 1287
⎕← n=1","https://tio.run/##SyzI0U2pTMzJT////1HfVBfnEIVHbRMUDF0PrTc04MqDcPQM4MCQC6gKJJhnC2a6BUGUGFmYI8n8/w8A"
"{r}←⎕FX cr/nr/vr/or","Name of fn or op defined from its matrix, nested, vector or object representation (or failing line no)","⎕FX 'r←Foo x' 'r←x x'
⎕← Foo 42","https://tio.run/##SyzI0U2pTMzJT////1HfVLcIBfWiR20T3PLzFSrUIewKIIsLKAdkKoDETYz@/wcA"
"{names}←'-' ⎕ED names","Create one or more character matrices (names) in the Editor","⎕← ⎕FX 'r←Foo x' 'r←x x'
⎕← ⎕FX 'r←Goo x;' 'r←x x'
⎕← ⎕NL ¯3","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAlFuEgnoRkO2Wn69QoQ5hVwBZXJhK3EFKrLGr8fNROLTe@P9/AA"
"{tdno}←{0|1} ⎕TKILL tdno","Kill threads tdno and (default 1 is true) descendants","⎕← ⎕DL&1
⎕← ⎕DL&1
⎕← ⎕TNUMS
⎕TKILL 1
⎕← ⎕TNUMS","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAlIuPmiEXTm6IX6hvMIgf4u3p46OAIfX/PwA"
"{level}←{level} ⎕LOCK name/ref","Hide source and optionally disallow suspension","∇ r←Foo x
  r←x x
∇
⎕← ≢⎕NR 'Foo'
⎕LOCK'Foo'
⎕← ≢⎕NR 'Foo'
⎕← Foo 42","https://tio.run/##SyzI0U2pTMzJT////1FHu0LRo7YJbvn5ChVcCmB2BZAFFOd61DcVyFN41LkIyPILUlAHKlIHifr4O3vDOdiVgERBZpoY/f8PAA"
"{name/ref}←{name} ⎕NS names","Create (optionally named) namespace copying names into it","b←42
'a'⎕NS'b'
⎕← a.b","https://tio.run/##SyzI0U2pTMzJT///P@lR2wQTIy71RPVHfVP9gtWT1LmADKCgQqJe0v//AA"
"{name/ref}←{name} ⎕NS ref","Create (optionally named) namespace copying contents of ref into it","a←⎕NS⍬
a.b←42
'c'⎕NS a
a.b←100
⎕← c.b","https://tio.run/##SyzI0U2pTMzJT///P/FR24RHfVP9gh/1ruFK1EsCck2MuNST1cGCColQMUMDAy6gCJClkKyX9P8/AA"
"r←0(⎕JSON⍠'M')data","Convert JSON text to APL matrix","⎕← 0(⎕JSON⍠'M')'[1,2,3,""abc""]'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMNIAMr2B/v0e9C9R91TXVow11jHSMdZQSk5KVYtW5/v8HAA"
"r←1(⎕JSON⍠'M')data","Convert APL matrix to JSON text","⎕← 1(⎕JSON⍠'M')2 4⍴0 '' ⍬ 2 1 '' 'abc' 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMNYAMr2B/v0e9C9R91TWNFEwe9W4xUFBXV3jUu0bBSMEQxFRPTEpWVzD5/x8A"
"r←{tn} (regex ⎕R trans⍠1) text","Replace text selected by case-insensitive regex using trans (optional tn to spool output to native file tied with number tn)","text ← 'JIVED fox-nymph GRABS quick waltz.'
⎕← ('[aeiou]' '.' ⎕R '\u&' '\l&'⍠1) text  ⍝ uppercase all vowels and lowercase consonants","https://tio.run/##SyzI0U2pTMzJT///vyS1okThUdsEBXUvzzBXF4W0/ArdvMrcggwF9yBHp2CFwtLM5GyF8sSckio9da5HfVNBajXUoxNTM/NLY9UV1PXUFYCiQQrqMaVqQG5Mjpr6o94FhpoKYJMVHvXOVSgtKEgtSk4sTlVIzMlRKMsvT80pVkjMS1HIATIhEsn5ecX5eYl5JcX//wMA"
"r←{tn} (regex ⎕S trans⍠1) text","Search text for case-insensitive PCRE regex returning trans (optional tn to spool output to native file tied with number tn)","text ← 'JIVED fox-nymph GRABS quick waltz.'
⎕← ('[aeiou]+' ⎕S '&'⍠1) text  ⍝ all vowels","https://tio.run/##SyzI0U2pTMzJT///vyS1okThUdsEBXUvzzBXF4W0/ArdvMrcggwF9yBHp2CFwtLM5GyF8sSckio9da5HfVNBajXUoxNTM/NLY7XVFYBCwQrqauqPehcYaiqAjVN41DtXITEnR6Esvzw1p/j/fwA"
"{bytes}←text {encoding {newline}}⎕NPUT file {flags}","Write (overwrite if flags is 1, append if flags is 2) text (vector or vector of vectors) to Unicode file","'Hello' ⎕NPUT 'myfile.txt'
⎕← ⎕NGET 'myfile.txt'
(⊂'Hello' 'World') ⎕NPUT 'myfile.txt' 1
⎕← ⎕NGET 'myfile.txt'
'Bye' ⎕NPUT 'myfile.txt' 2
⎕← ⎕NGET 'myfile.txt'","https://tio.run/##SyzI0U2pTMzJT///X90jNScnX13hUd9Uv4DQEAX13Mq0zJxUvZKKEnUuoOCjtglgOXdXNDmNR11NMM3q4flFOSnqmlhNUTDEa466U2UqdusVjPBp/P8fAA"
"+⍨N","Double: 2×N","⎕← +⍨ 5
⎕← +⍨ ⍳10
⎕← +⍨ ¯1 ¯2.5 0 2.5 4.3j1.1
⎕← +⍨ (3 3⍴⍳9)","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExS0H/WuUDDlQuY96t1saIAicmi9IRAb6ZkqGCiASBM94yxDPUMUNRrGCsaPercANVtq/v8PAA"
"×⍨N","Square: N*2","⎕← ×⍨ 5
⎕← ×⍨ ⍳10
⎕← ×⍨ ¯1 ¯2.5 0 2.5 4.3j1.1
⎕← ×⍨ (3 3⍴⍳9)","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQOT3/Uu0LBlAuF@6h3s6EBqtCh9YZAbKRnqmCgACJN9IyzDPUMURVpGCsYP@rdAtRuqfn/PwA"
"=⍨Y","Ones, same shape and structure","⎕← 3 3⍴⍳9
⎕←''
⎕← =⍨ 3 3⍴⍳9","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFYwf9W551LvZkgsioq4OZSjYPupdgST//z8A"
"≠⍨Y","Zeros, same shape and structure","⎕← 3 3⍴⍳9
⎕←''
⎕← ≠⍨ 3 3⍴⍳9","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFYwf9W551LvZkgsioq4OZSg86lzwqHcFkor//wE"
"1∘+N","Increment: N+1","⎕← 1∘+ 10 20 30
⎕← 1∘+ ¯10 ¯20 ¯30
⎕←     (3 3⍴4)
⎕← 1∘+ (3 3⍴4)","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMH3XM0FYwNFAwMlAwNuBCET20Hih@aL0RiEDIgYCGsYLxo94tJpqoGuDC//8DAA"
"0∘×N","Zero array of shape, size, and structure of N","⎕←     0∘× 1 2 3 4 5
⎕←disp 0∘× (8 8) (100 200) (5.3 ¯6)
⎕←     0∘× 3 3⍴⍳9","https://tio.run/##SyzI0U2pTMzJT/@vnpJZXKD@qG@qc6R6Slpesfp/IPtR2wQFEDB41DHj8HQFQwUjBWMFEwVTLogcSAtMTsNCwUJTQcPQwEDByMAAyDLVM1Y4tN5MkwvTHGMF40e9Wx71brb8/x8A"
"0∘<N","Strictly positive?","⎕← 0∘< 1 2 3 4
⎕← 0∘< ¯2 ¯1 0 1 2","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMHnXMsFEwVDBSMFYw4UIRPLTeCIgNFQxA0v//AwA"
"0∘≤N","Non-negative?","⎕← 0∘≤ 1 2 3 4
⎕← 0∘≤ ¯2 ¯1 0 1 2","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMHnXMeNS5RMFQwUjBWMGEC0340HojIDZUMAAp@P8fAA"
"0∘=N","Zero?","⎕← 0∘= 1 2 3 4
⎕← 0∘= ¯2 ¯1 0 1 2","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMHnXMsFUwVDBSMFYw4UIRPLTeCIgNFQxA0v//AwA"
"0∘≥N","Non-positive?","⎕← 0∘≥ 1 2 3 4
⎕← 0∘≥ ¯2 ¯1 0 1 2","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMHnXMeNS5VMFQwUjBWMGEC0340HojIDZUMAAp@P8fAA"
"0∘>N","Strictly negative?","⎕← 0∘> 1 2 3 4
⎕← 0∘> ¯2 ¯1 0 1 2","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMHnXMsFMwVDBSMFYw4UIRPLTeCIgNFQxA0v//AwA"
"0∘≠N","Non-zero?","⎕← 0∘≠ 1 2 3 4
⎕← 0∘≠ ¯2 ¯1 0 1 2","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMHnXMeNS5QMFQwUjBWMGEC0340HojIDZUMAAp@P8fAA"
"10∘*N","Common anti-logarithm","⎕← 10∘* 1 2 3 4
⎕← 10∘* ¯1 ¯2 ¯3 ¯4
⎕← 10∘* 1.32 1.54 1.75 1.99","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMDR51zNBSMFQwUjBWMOFCFT203hCIjYDYGIjRZQ31jI2AhKkJkDA3BRKWlv//AwA"
"10∘⍟N","Common logarithm","⎕← 10∘⍟ 1 10 100 1000 10000 1e5 1e6
⎕← 10∘⍟ 132 15454 17501 199999","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMDR51zHjUO1/BEMgEIjCGEEAy1RSIzbgw1BobKRiampiaKBiamxoAdVqCwP//AA"
"⊢/Y","Fast: The last sub-array along the last axis of Y","⎕← ⊢/ 1 2 3 4 5
⎕←''
⎕←    3 3⍴⍳9
⎕←''
⎕← ⊢/ 3 3⍴⍳9","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedS3SVzBUMFIwVjBRMOWCiKqrQxkKQGCsYPyod8uj3s2WGLJgzQj5//8B"
"⊣/Y","Fast: The first sub-array along the last axis of Y","⎕← ⊣/ 1 2 3 4 5
⎕←''
⎕←    3 3⍴⍳9
⎕←''
⎕← ⊣/ 3 3⍴⍳9","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedS3WVzBUMFIwVjBRMOWCiKqrQxkKQGCsYPyod8uj3s2WGLJgzQj5//8B"
"+/N","Sum of N (row-wise)","⎕← +/ 1 2 3 4 5
⎕←''
⎕←    3 3⍴⍳9
⎕←''
⎕← +/ 3 3⍴⍳9","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExS09RUMFYwUjBVMFEy5IGLq6lCGAhAYKxg/6t3yqHezJYYsUCtC9v9/AA"
"Is+/N","Running sum of Is consecutive elements of N","⎕← 2 +/ 2 2 3 2 2
⎕←''
⎕←      5 5⍴⍳9
⎕←''
⎕← 3 +/ 5 5⍴⍳9","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFLT1gYSRgjGI5IKIqqtDGQpgYKpg@qh3y6PezZYY8sYg7Qj5//8B"
"-/N","Row-wise alternating sum: ((N[1]-N[2])+N[3])-N[4]+…","⎕← -/ 5 10 15 20 25 30","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExR09RVMFQwNFAxNFYwMFIxMFYwN/v8HAA"
"×/N","Product of N (row-wise)","⎕← ×/ 1 2 3 4 5
⎕←''
⎕←    5 5⍴⍳25
⎕←''
⎕← ×/ 5 5⍴⍳25","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQOT9dXMFQwUjBWMFEw5YIIqqtDGQpAYKpg@qh3y6PezUaY0iDNSPL//wMA"
"×/Nv","Area of rectangle with sides Nv","⎕← ×/ 5 10","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQOT9dXMFUwNPj/HwA"
"×/Nv","Volume of box with sides Nv","⎕← ×/ 10 10 2","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQOT9dXMDQAIaP//wE"
"∨/B","Are any true? (row-wise)","⎕← ∨/ 0 0 0 0 0
⎕← ∨/ 0 0 0 1 0 0 0
⎕← ∨/ 1 1 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedazQVzCAQS5MUUMsMoYg@P8/AA"
"∧/Bv","Are all true?","⎕← ∧/ 0 0 0 0 0
⎕← ∧/ 0 0 0 1 0 0 0
⎕← ∧/ 1 1 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedSzXVzCAQS5MUUMsMoYg@P8/AA"
"⌈/N","Maximum of N","⎕← ⌈/ 58 15 22 80 26 11
⎕← ⌈/ 0 0 0 1 0 0 0
⎕←    3 3⍴ 2 1 3 6 5 4 7 9 8
⎕←''
⎕← ⌈/ 3 3⍴ 2 1 3 6 5 4 7 9 8","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XToK5haKBiaKhgZKVgYKBiZKRgaciHLGoChIYSGyQCBsYLxo94tCkZAKWMFMwVTBRMFcwVLBQuoEnV1FFNwqf7/HwA"
"⌊/N","Minimum of N","⎕← ⌊/ 58 15 22 80 26 11
⎕← ⌊/ 0 0 0 1 0 0 0
⎕←    3 3⍴ 2 1 3 6 5 4 7 9 8
⎕←''
⎕← ⌊/ 3 3⍴ 2 1 3 6 5 4 7 9 8","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XTpK5haKBiaKhgZKVgYKBiZKRgaciHLGoChIYSGyQCBsYLxo94tCkZAKWMFMwVTBRMFcwVLBQuoEnV1FFNwqf7/HwA"
"÷/N","Alternating product of N","⎕← ÷/ 1 2
⎕← ÷/ 1 2 3
⎕← ÷/ 1 2 3 4
⎕← ÷/ 1 2 3 4 5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQOb9dXMFQw4kLlKhhjCCiYYBFSMP3/HwA"
"≠/B","Boolean Parity (even number of 1s in vectors)","⎕← ≠/1
⎕← ≠/1 1
⎕← ≠/1 1 1
⎕← ≠/1 0 0 1 0 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedS7QN@RC5iigc9EFDIAQRBr@/w8A"
"1∘/Y","Ensure minimum rank 1 (reshaping scalar into one-element vector)","⎕← ⍴     27
⎕← ⍴ 1∘/ 27
⎕← ⍴     27 30 35
⎕← ⍴ 1∘/ 27 30 35","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9W5RAAEjcy4kEcNHHTP00cQgqhSMDRSMTbGphcj8/w8A"
"+⌿N","Sum of N (column-wise)","⎕←    3 3⍴1 2 3
⎕←''
⎕← +⌿ 3 3⍴1 2 3","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAwFjB@FHvFkMFIwVjLoioujqUoaD9qGc/soL//wE"
"-⌿N","Column-wise alternating sum: ((N[1]-N[2])+N[3])-N[4]+…","⎕←    5 3⍴3×⍳5
⎕←''
⎕← -⌿ 5 3⍴3×⍳5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAwFTB@FHvFuPD0x/1bjblgoirq0MZCrqPevajKvn/HwA"
"0∘⌿Y","Empty array along first axis","⎕← ⍴     4 3⍴⍳12
⎕←''
⎕← ⍴ 0∘⌿ 4 3⍴⍳12","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9W5RAAETBWMg81HvZkMjLoiUujoXkhqDRx0zHvXsR1b3/z8A"
"1∘,Y","Preface a column of 1s","⎕← 1∘, 5 6 7 8
⎕←''
⎕← 1∘, 3 3⍴⍳9","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMH3XM0FEwVTBTMFew4IIIqqtzocgaKxg/6t3yqHez5f//AA"
"X,¨Y","Join corresponding items","⎕← disp  5 6 7 ,¨ 10 11 12
⎕← disp  5 6 7 ,¨ 15","https://tio.run/##SyzI0U2pTMzJT/@vnpJZXKD@qG@qc6R6Slpesfp/IPtR2wQFkLiCgqmCmYK5gs6hFQqGBgqGhgqGRly45E3//wcA"
"1∘⍪Y","Preface a row of 1s","⎕← 1∘⍪ 2 3⍴8","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMH3XMeNS7SsFIwfhR7xaL//8B"
"⍪/Yv","Fast: The enclose of the items of Yv (which must be of depth 2) catenated along their first axes","⎕← disp    (9 10) (20 40 60) (4 5)
⎕← disp ⍪/ (9 10) (20 40 60) (4 5)

⎕← disp    (3 3⍴⍳9) (3 3⍴⍳9)
⎕← disp ⍪/ (3 3⍴⍳9) (3 3⍴⍳9)","https://tio.run/##SyzI0U2pTMzJT/@vnpJZXKD@qG@qc6R6Slpesfp/IPtR2wQFkLgCEGhYKhgaaCpoGBkomBgomIGYJgqmmlzIyh71rtLHqZAL3UBjBeNHvVse9W621EThYDESl1KF//8B"
"⍳⍨Nv","Assign ranking based on non-descending scores Nv (ties all get highest ranking of used slots)","⎕← ⍳⍨ 3 3 3 5 8 8 21","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9W5@1LtCwRgMTRUsgNDI8P9/AA"
"0∘∊B","Not all true?","⎕← 0∘∊ 1 1 1 1
⎕← 0∘∊ 1 1 0 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMHnXMeNTRpWAIgVxYhA0UDP//BwA"
"1∘∊B","Any true?","⎕← 1∘∊ 0 0 0 0
⎕← 1∘∊ 0 1 1 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMH3XMeNTRpWAAgVwYwoZAaPD/PwA"
"⍸⍨Nv","Assign ranking based on non-descending scores Nv (ties all get lowest ranking of used slots)","⎕← ⍸⍨ 3 3 3 5 8 8 21","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9e541LtCwRgMTRUsgNDI8P9/AA"
"+\N","Cumulative sum","⎕← +\ 1 1 1 1 1
⎕← +\ 2 4 6 8 10","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExS0YxQMYZALIWakYKJgpmChYGjw/z8A"
"∨\B","Turn on all 0s after first 1 (indicate all elements except leading 0s)","⎕← ∨\ 0 0 1 0 0 1 1 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedayIUTAAQkMoCYT//wMA"
"∧\B","Turn off all 1s after first 0 (indicate all elements until the first 0)","⎕← ∧\ 1 1 0 0 1 1 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedSyPUTAEQgMgBNGG//8DAA"
"⌈\N","Progressive maxima (row-wise)","⎕← ⌈\ 20 11 47 2 5 300 99","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XTEKBgZKBgaKpiYKxgpmCoYGxgoWFr@/w8A"
"⌊\N","Progressive minima (row-wise)","⎕← ⌊\ 20 11 47 2 5 300 99","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XTFKBgZKBgaKpiYKxgpmCoYGxgoWFr@/w8A"
"<\B","Turn off all 1s after first 1 (indicate only the first 1)","⎕← <\ 0 1 0 1 0 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExRsYhQMFAxh@P9/AA"
"≤\B","Turn on all 0s after first 0 (indicate all elements except the first 0)","⎕← ≤\ 1 0 1 0 1 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedS6JUTBUMIDh//8B"
"⌈⍀N","Progressive maxima (column-wise)","col←⍪20 11 47 2 5 300 99
⎕← col, ⌈⍀ col","https://tio.run/##SyzI0U2pTMzJT///Pzk/51HbhEe9q4wMFAwNFUzMFYwUTBWMDQwULC25HvVNBUoqANXoKDzq6XjU2wBi//8PAA"
"⌊⍀N","Progressive minima (column-wise)","col←⍪20 11 47 2 5 300 99
⎕← col, ⌊⍀ col","https://tio.run/##SyzI0U2pTMzJT///Pzk/51HbhEe9q4wMFAwNFUzMFYwUTBWMDQwULC25HvVNBUoqANXoKDzq6XrU2wBi//8PAA"
"1 1∘⍉Ym","Main diagonal of matrix","⎕←      3 3⍴⍳9
⎕←''
⎕←1 1∘⍉ 3 3⍴⍳9","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTAwFjB@FHvlke9my25IMLq6lCGoYLho44Zj3o7kdT8/w8A"
"⊥⍨Bv","Count of trailing ones","⎕←⊥⍨ 1 0 1 0 1 1 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtEx51LX3Uu0LBUMEAioHw/38A"
"0∘⊥N","Last major cell of numeric array","⎕← 0∘⊥ ⍳9
⎕← 0∘⊥ 3 3⍴⍳9","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMHnXMeNS1VOFR72ZLLjQxYwXjR71bQDL//wMA"
"100∘⊥Jv","Joining date YYYY M D to packed YYYYMMDD integer","⎕← 100∘⊥ 1969 7 21","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMDQwedcx41LVUwdDSzFLBXMHI8P9/AA"
"2∘⊥Bv","Integer representation of logical vector Bv","⎕← 2∘⊥ 0 0 1
⎕← 2∘⊥ 0 1 0
⎕← 2∘⊥ 0 1 1
⎕← 2∘⊥ 1 0 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMHnXMeNS1VMEACA25MAQNFQywCWKoNAQZ8P8/AA"
"0 1∘⊤N","Integral and fractional part of positive number","⎕← 0 1∘⊤ 8.75","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFAwfdcx41LVEwULP3PT/fwA"
"0 100 100∘⊤Js","Separating packed YYYYMMDD date integer date","⎕← 0 100 100∘⊤ 19690721","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFAwNwPhRx4xHXUsUDC3NLA3MjQz//wcA"
"{0}Y","Fast: 0 irrespective of Y","⎕← {0} (4 5 6) 'ABC'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSqDWoVNEwUTBXMNBXUHZ2c1f//BwA"
"+∘-N","Negate real part (“real conjugate”)","⎕← +∘- ¯7J3","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExS0H3XM0FU4tN7cy/j/fwA"
"-∘+N","Mirror complex N across y-axis","⎕← -∘+ ¯7J3","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExR0H3XM0FY4tN7cy/j/fwA"
"⌽∘⊖Ym","Rotate 180°","⎕←       3 3⍴⍳9
⎕←''
⎕←  ⌽∘⊖  3 3⍴⍳9","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQgwFjB@FHvlke9my25IOLq6lwwBY969j7qmPGoaxqysv//AQ"
"Iv⊢⍤/Y","Replicate along last axis of Y (forces / to be a function even with a function on its left)","⎕← 3 1 ¯2 2 / 6 7 8 9","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFQwVDq03UjBS0FcwUzBXsFCw/P8fAA"
"Av⊢⍤/Y","Filtering columns of Y according to mask Av (forces / to be a function even with a function on its left)","⎕← 1 0 1 0 1 / 'Heart'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFQygWF9B3SM1sahE/f9/AA"
"Iv⊢⍤⌿Y","Replicate along leading axis of Y (forces ⌿ to be a function even with a function on its left)","mat ← 3 4⍴⍳12
⎕← 1 0 2 ⌿ mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSRkqGCgYKTwqGe/AlDR//8A"
"Av⊢⍤⌿Y","Filtering major cells of Y according to mask Av (forces ⌿ to be a function even with a function on its left)","mat ← 3 4⍴⍳12
⎕← 1 0 1 ⌿ mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSRkqGAAxI969isAFf3/DwA"
"Is/∘⍪Yv","Matrix with Is columns, each consisting of Yv","⎕← 4 /∘⍪ 1 2 3","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExRMFPQfdcx41LtKwVDBSMH4/38A"
"Iv⍴∘⊂Y","Array of shape Iv filled with copies of Y","⎕← 2 3 ⍴∘⊂ 'abc'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFIwVHvVuedQx41FXk4J6YlKy@v//AA"
"⊂∘⊃Y","Corner element of a (non-empty) array Y[1;1;1…]","⎕←      3 3⍴ 2 ,/ ⍳9
⎕←''
⎕← ⊂∘⊃  3 3⍴ 2 ,/ ⍳9","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTAwFjB@FHvFgUjBR19hUe9my25IJLq6lCGwqOupkcdMx51NWOq/f8fAA"
"Ms×∘⍳Js","Arithmetic progression vector: Js steps of Ms","⎕← (⊂3 3⍴⍳9) ×∘⍳ 3","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HnU1GSsYP@rd8qh3s6WmwuHpjzpmAJkKxv//AwA"
"⍳∘≢Ym","All row indices of matrix Ym","⎕←     4 3⍴0.25
⎕← ⍳∘≢ 4 3⍴0.25","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExRAwETB@FHvFgM9I1MuqOij3s2POmY86lyEJPf/PwA"
",∘⍳Jv","All tuples of corresponding elements of ⍳¨Jv (for small Jv of max length 15)","⎕← ,∘⍳ 3 6","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExR0HnXMeNS7WcFYwez/fwA"
"C⍳∘⊂Dv","Position of first occurrence of string Dv in list of strings C","⎕← 'lorem' 'ipsum' 'dolor' 'sit' 'amet' ⍳∘⊂  'sit'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUc/KLUnPVFdQzC4pLQXRKPlAESBdnlgDJxNxUIPWod/OjjhmPupoUIOL//wMA"
"Ms∊∘⍳Js","Is Ms in range 1…Js?","⎕← 27 ∊∘⍳ 50","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMzBUedXQ96pjxqHezgqnB//8A"
"⍸@⊢B","Replace 1s in Boolean array B with their enumeration","⎕← ⍸@⊢ 1 0 1 1 0 0 1 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9e5weNS1SMFQwQCIQSSY/v8fAA"
"X f⍣¯1⍣≡Y","Limit: apply inverse of X∘f until stable","f← +∘÷
⎕← 1 f⍣¯1⍣≡ 0","https://tio.run/##SyzI0U2pTMzJT///P@1R2wQF7UcdMw5v53rUNxXEM1RIe9S7@NB6QyD5qHOhgsH//wA"
"f⍣¯1⍣≡Y","Limit: apply inverse of f until stable","f← 1∘+∘÷
⎕← f⍣¯1⍣≡ 0","https://tio.run/##SyzI0U2pTMzJT///P@1R2wQFw0cdM7SB@PB2rkd9U0EiaY96Fx9abwgkH3UuVDD4/x8A"
"Iv⊢⍤\Y","Expand last axis of Y (forces \ to be a function even with a function on its left)","⎕← 3 ¯2 4 \ 7 8
⎕← 1 0 1 0 1 \ 'Hat'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFQ6tN1IwUYhRMFew4IIKGioYQHGMgrpHYon6//8A"
"Iv⊢⍤⍀Y","Expand leading axis of Y (forces ⍀ to be a function even with a function on its left)","mat←3 4⍴⍳12
⎕← 1 0 2 1 ⍀ mat","https://tio.run/##SyzI0U2pTMzJT///Pzex5FHbBGMFk0e9Wx71bjY04nrUNxUoomCoYKBgBCQf9TYoABX9/w8A"
"⌽∘⍉Ym","Rotate 90° clockwise","⎕←     3 3⍴⍳9
⎕← ⌽∘⍉ 3 3⍴⍳9","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExRAwFjB@FHvlke9my25oKKPevY@6pjxqLcTSe7/fwA"
